"id","city","class","review_count","categories"
"104","Toronto",0,17,"Italian"
"106","Toronto",1,31,"Latin"
"108","Toronto",1,70,"Other"
"110","Toronto",1,15,"Coffee or Sandwiches"
"112","Missisauga",0,19,"Other"
"114","Toronto",0,35,"Fast Food"
"116","Missisauga",0,15,"Middle Eastern"
"118","Missisauga",0,5,"Fast Food"
"120","Toronto",0,10,"Asian"
"122","Toronto",1,38,"Latin"
"124","Missisauga",1,22,"Middle Eastern"
"126","Markham",1,196,"Asian"
"128","Toronto",0,58,"Fast Food"
"130","Toronto",0,3,"Other"
"132","Toronto",0,38,"Coffee or Sandwiches"
"134","Markham",0,32,"Asian"
"136","Toronto",0,9,"Fast Food"
"138","Toronto",0,6,"Asian"
"140","Toronto",0,19,"Middle Eastern"
"142","Toronto",1,147,"Asian"
"144","Toronto",1,9,"Coffee or Sandwiches"
"146","Toronto",1,117,"North American"
"148","Toronto",0,31,"Asian"
"150","Missisauga",0,82,"Pub"
"152","Toronto",1,26,"Other"
"154","Toronto",0,14,"Middle Eastern"
"156","Toronto",1,13,"Middle Eastern"
"158","Toronto",0,9,"Latin"
"160","Markham",0,13,"Asian"
"162","Toronto",0,28,"Asian"
"164","Missisauga",0,41,"Middle Eastern"
"166","Toronto",0,34,"Pub"
"168","Toronto",1,268,"North American"
"170","Toronto",1,122,"Other"
"172","Toronto",1,17,"Coffee or Sandwiches"
"174","Toronto",0,3,"North American"
"176","Toronto",1,32,"Pub"
"178","Toronto",0,8,"Asian"
"180","Toronto",0,15,"Italian"
"182","Toronto",0,4,"Fast Food"
"184","Toronto",1,17,"North American"
"186","Toronto",1,62,"Fast Food"
"188","Toronto",1,61,"Coffee or Sandwiches"
"190","Toronto",0,67,"Fast Food"
"192","Missisauga",1,62,"Middle Eastern"
"194","Markham",0,9,"Asian"
"196","Toronto",0,19,"Middle Eastern"
"198","Toronto",0,14,"Fast Food"
"200","Toronto",0,11,"Asian"
"202","Missisauga",0,34,"Italian"
"204","Toronto",1,11,"North American"
"206","Toronto",1,4,"Coffee or Sandwiches"
"208","Missisauga",0,8,"North American"
"210","Missisauga",0,44,"Coffee or Sandwiches"
"212","Missisauga",0,3,"Asian"
"214","Toronto",1,6,"Fast Food"
"216","Toronto",1,9,"Other"
"218","Missisauga",0,6,"Latin"
"220","Toronto",0,12,"Other"
"222","Toronto",0,139,"Coffee or Sandwiches"
"224","Toronto",0,64,"North American"
"226","Toronto",0,9,"Italian"
"228","Toronto",0,4,"Other"
"230","Toronto",0,25,"Fast Food"
"232","Toronto",0,48,"Fast Food"
"234","Toronto",0,13,"Middle Eastern"
"236","Toronto",1,223,"Asian"
"238","Toronto",0,124,"North American"
"240","Toronto",0,24,"Asian"
"242","Missisauga",1,26,"Middle Eastern"
"244","Toronto",1,82,"Pub"
"246","Toronto",0,25,"Middle Eastern"
"248","Toronto",0,25,"North American"
"250","Toronto",0,19,"Pub"
"252","Toronto",0,27,"Asian"
"254","Toronto",1,6,"Coffee or Sandwiches"
"256","Toronto",0,5,"Fast Food"
"258","Toronto",0,5,"Coffee or Sandwiches"
"260","Toronto",0,28,"Other"
"262","Toronto",0,7,"Asian"
"264","Toronto",0,10,"Other"
"266","Toronto",0,22,"Middle Eastern"
"268","Toronto",1,159,"North American"
"270","Markham",0,109,"Asian"
"272","Toronto",0,7,"Latin"
"274","Toronto",0,27,"Asian"
"276","Missisauga",1,8,"Coffee or Sandwiches"
"278","Missisauga",0,13,"North American"
"280","Toronto",0,10,"Middle Eastern"
"282","Toronto",1,15,"Coffee or Sandwiches"
"284","Toronto",1,82,"Asian"
"286","Toronto",1,15,"Coffee or Sandwiches"
"288","Missisauga",0,19,"Latin"
"290","Missisauga",0,127,"Asian"
"292","Toronto",0,15,"Fast Food"
"294","Markham",0,28,"Middle Eastern"
"296","Toronto",1,68,"Coffee or Sandwiches"
"298","Markham",0,118,"Asian"
"300","Toronto",0,13,"North American"
"302","Toronto",0,9,"Fast Food"
"304","Toronto",1,4,"Middle Eastern"
"306","Toronto",0,23,"North American"
"308","Toronto",0,24,"Other"
"310","Toronto",0,10,"North American"
"312","Toronto",1,5,"Asian"
"314","Toronto",0,3,"Coffee or Sandwiches"
"316","Toronto",0,4,"Asian"
"318","Toronto",1,381,"Asian"
"320","Missisauga",0,23,"Fast Food"
"322","Toronto",0,67,"North American"
"324","Markham",0,7,"Asian"
"326","Toronto",1,5,"Latin"
"328","Toronto",0,11,"Asian"
"330","Missisauga",1,27,"Fast Food"
"332","Toronto",0,14,"Asian"
"334","Toronto",0,72,"Pub"
"336","Toronto",1,47,"Middle Eastern"
"338","Toronto",1,5,"Other"
"340","Toronto",0,23,"Fast Food"
"342","Toronto",1,6,"Asian"
"344","Toronto",1,217,"Middle Eastern"
"346","Toronto",1,16,"Coffee or Sandwiches"
"348","Toronto",0,3,"Fast Food"
"350","Toronto",1,12,"Asian"
"352","Toronto",0,5,"Coffee or Sandwiches"
"354","Toronto",0,254,"Asian"
"356","Toronto",0,24,"North American"
"358","Markham",0,29,"Asian"
"360","Toronto",0,4,"Other"
"362","Missisauga",0,20,"Asian"
"364","Missisauga",0,5,"Asian"
"366","Toronto",0,4,"Middle Eastern"
"368","Toronto",0,233,"North American"
"370","Missisauga",1,37,"Middle Eastern"
"372","Toronto",1,129,"Coffee or Sandwiches"
"374","Toronto",0,50,"North American"
"376","Markham",0,7,"Asian"
"378","Toronto",1,3,"Middle Eastern"
"380","Toronto",0,32,"Asian"
"382","Toronto",0,4,"Fast Food"
"384","Toronto",0,12,"Fast Food"
"386","Toronto",1,7,"Coffee or Sandwiches"
"388","Toronto",1,5,"Asian"
"390","Toronto",0,3,"Fast Food"
"392","Markham",1,34,"Coffee or Sandwiches"
"394","Toronto",0,40,"Latin"
"396","Toronto",1,167,"Fast Food"
"398","Missisauga",0,9,"Asian"
"400","Toronto",0,22,"Asian"
"402","Markham",0,118,"Asian"
"404","Toronto",0,6,"Middle Eastern"
"406","Toronto",0,85,"North American"
"408","Toronto",0,4,"Asian"
"410","Markham",0,11,"Asian"
"412","Toronto",0,22,"Other"
"414","Toronto",0,19,"Pub"
"416","Toronto",0,3,"Coffee or Sandwiches"
"418","Markham",0,30,"Asian"
"420","Toronto",0,34,"Other"
"422","Toronto",0,121,"North American"
"424","Missisauga",0,67,"Fast Food"
"426","Toronto",0,3,"North American"
"428","Toronto",0,51,"Asian"
"430","Toronto",0,15,"Pub"
"432","Markham",0,9,"Asian"
"434","Toronto",0,227,"Asian"
"436","Toronto",0,14,"Other"
"438","Toronto",0,7,"Fast Food"
"440","Toronto",1,5,"Pub"
"442","Toronto",0,134,"Fast Food"
"444","Markham",0,78,"Asian"
"446","Toronto",1,18,"Coffee or Sandwiches"
"448","Markham",1,13,"Asian"
"450","Toronto",0,15,"Asian"
"452","Missisauga",1,30,"North American"
"454","Toronto",0,52,"Asian"
"456","Toronto",1,6,"Other"
"458","Toronto",1,7,"Other"
"460","Toronto",0,3,"Asian"
"462","Toronto",1,4,"North American"
"464","Toronto",1,28,"North American"
"466","Missisauga",1,8,"Fast Food"
"468","Toronto",1,12,"Middle Eastern"
"470","Toronto",0,42,"Latin"
"472","Missisauga",1,7,"Asian"
"474","Toronto",1,21,"Asian"
"476","Missisauga",0,6,"Middle Eastern"
"478","Toronto",0,146,"Asian"
"480","Toronto",1,90,"Asian"
"482","Toronto",0,48,"Fast Food"
"484","Toronto",0,9,"Fast Food"
"486","Toronto",1,9,"North American"
"488","Toronto",1,3,"Coffee or Sandwiches"
"490","Toronto",1,9,"Other"
"492","Missisauga",1,4,"Middle Eastern"
"494","Toronto",1,4,"Fast Food"
"496","Toronto",0,13,"Asian"
"498","Toronto",0,53,"Other"
"500","Missisauga",0,3,"Other"
"502","Toronto",0,6,"Latin"
"504","Toronto",1,29,"Coffee or Sandwiches"
"506","Toronto",0,47,"Coffee or Sandwiches"
"508","Missisauga",0,100,"Asian"
"510","Toronto",0,5,"Coffee or Sandwiches"
"512","Toronto",0,3,"Other"
"514","Toronto",1,26,"Asian"
"516","Missisauga",1,32,"Coffee or Sandwiches"
"518","Toronto",0,8,"Italian"
"520","Toronto",1,58,"Coffee or Sandwiches"
"522","Toronto",0,44,"Asian"
"524","Toronto",0,4,"Middle Eastern"
"526","Toronto",0,18,"Fast Food"
"528","Toronto",0,5,"Asian"
"530","Toronto",0,9,"Middle Eastern"
"532","Toronto",1,15,"Latin"
"534","Toronto",0,222,"Asian"
"536","Toronto",1,4,"Other"
"538","Missisauga",0,3,"Fast Food"
"540","Toronto",0,6,"Other"
"542","Toronto",1,17,"Other"
"544","Markham",0,9,"Asian"
"546","Toronto",0,3,"Fast Food"
"548","Toronto",0,7,"Pub"
"550","Missisauga",0,6,"Fast Food"
"552","Toronto",0,4,"Fast Food"
"554","Toronto",0,17,"Pub"
"556","Toronto",0,3,"Pub"
"558","Toronto",1,32,"Pub"
"560","Toronto",0,3,"Fast Food"
"562","Toronto",1,22,"Coffee or Sandwiches"
"564","Toronto",1,168,"Middle Eastern"
"566","Toronto",1,356,"Italian"
"568","Toronto",0,19,"North American"
"570","Toronto",1,4,"Asian"
"572","Toronto",0,4,"Other"
"574","Missisauga",0,12,"Middle Eastern"
"576","Missisauga",0,33,"Middle Eastern"
"578","Missisauga",0,9,"Latin"
"580","Markham",0,255,"Asian"
"582","Missisauga",1,7,"North American"
"584","Toronto",0,3,"Asian"
"586","Toronto",0,62,"North American"
"588","Missisauga",0,8,"Middle Eastern"
"590","Toronto",0,6,"North American"
"592","Toronto",0,848,"Asian"
"594","Toronto",0,28,"Italian"
"596","Toronto",1,66,"Pub"
"598","Markham",0,12,"North American"
"600","Missisauga",0,11,"Fast Food"
"602","Toronto",0,13,"Coffee or Sandwiches"
"604","Toronto",0,10,"Italian"
"606","Toronto",0,14,"Middle Eastern"
"608","Toronto",0,22,"Pub"
"610","Missisauga",1,7,"Other"
"612","Toronto",1,19,"Fast Food"
"614","Toronto",1,4,"Other"
"616","Toronto",1,17,"Asian"
"618","Toronto",0,52,"Middle Eastern"
"620","Markham",0,11,"Asian"
"622","Toronto",0,168,"North American"
"624","Missisauga",1,14,"Latin"
"626","Markham",0,7,"Asian"
"628","Missisauga",1,8,"Coffee or Sandwiches"
"630","Toronto",1,70,"Other"
"632","Markham",0,6,"Asian"
"634","Toronto",1,76,"Asian"
"636","Toronto",0,26,"Middle Eastern"
"638","Toronto",0,3,"Middle Eastern"
"640","Toronto",0,37,"Coffee or Sandwiches"
"642","Toronto",0,83,"North American"
"644","Toronto",0,3,"Coffee or Sandwiches"
"646","Toronto",1,85,"Asian"
"648","Missisauga",0,77,"Middle Eastern"
"650","Missisauga",0,4,"Fast Food"
"652","Toronto",0,7,"Other"
"654","Missisauga",0,5,"Coffee or Sandwiches"
"656","Toronto",1,4,"Other"
"658","Toronto",0,4,"Asian"
"660","Toronto",1,89,"Italian"
"662","Toronto",1,18,"Asian"
"664","Toronto",1,8,"Middle Eastern"
"666","Toronto",0,15,"Middle Eastern"
"668","Toronto",0,4,"Other"
"670","Toronto",0,4,"Fast Food"
"672","Toronto",1,11,"Pub"
"674","Toronto",0,15,"Italian"
"676","Toronto",0,16,"Middle Eastern"
"678","Toronto",1,28,"Other"
"680","Toronto",1,11,"Asian"
"682","Toronto",0,8,"Middle Eastern"
"684","Toronto",0,10,"Fast Food"
"686","Toronto",0,48,"Fast Food"
"688","Toronto",1,5,"Middle Eastern"
"690","Missisauga",0,36,"Coffee or Sandwiches"
"692","Toronto",0,18,"Coffee or Sandwiches"
"694","Toronto",1,70,"Pub"
"696","Toronto",0,119,"Asian"
"698","Toronto",1,26,"Middle Eastern"
"700","Missisauga",0,7,"Middle Eastern"
"702","Markham",1,38,"North American"
"704","Markham",0,3,"Asian"
"706","Markham",0,52,"Asian"
"708","Toronto",1,191,"Asian"
"710","Markham",0,79,"Asian"
"712","Toronto",0,26,"Latin"
"714","Markham",0,56,"Asian"
"716","Missisauga",0,32,"Fast Food"
"718","Markham",0,5,"Asian"
"720","Toronto",0,36,"Asian"
"722","Toronto",1,86,"Asian"
"724","Toronto",0,21,"Other"
"726","Missisauga",0,20,"Middle Eastern"
"728","Toronto",1,3,"Middle Eastern"
"730","Toronto",0,68,"Coffee or Sandwiches"
"732","Toronto",1,3,"Middle Eastern"
"734","Toronto",0,3,"Middle Eastern"
"736","Toronto",0,13,"Pub"
"738","Toronto",1,94,"Coffee or Sandwiches"
"740","Toronto",0,77,"North American"
"742","Missisauga",0,33,"Asian"
"744","Toronto",1,6,"Coffee or Sandwiches"
"746","Toronto",0,12,"Fast Food"
"748","Toronto",0,200,"North American"
"750","Toronto",1,12,"Pub"
"752","Toronto",0,15,"Pub"
"754","Toronto",0,37,"North American"
"756","Toronto",0,28,"Latin"
"758","Toronto",1,8,"North American"
"760","Toronto",0,180,"Coffee or Sandwiches"
"762","Missisauga",0,8,"Middle Eastern"
"764","Toronto",1,34,"Asian"
"766","Toronto",0,115,"North American"
"768","Missisauga",0,52,"Asian"
"770","Missisauga",1,34,"Middle Eastern"
"772","Toronto",0,5,"Middle Eastern"
"774","Toronto",1,6,"North American"
"776","Toronto",0,10,"North American"
"778","Missisauga",0,14,"Asian"
"780","Toronto",1,72,"Middle Eastern"
"782","Toronto",1,106,"Fast Food"
"784","Toronto",0,28,"Asian"
"786","Toronto",0,18,"North American"
"788","Toronto",1,6,"Latin"
"790","Toronto",0,6,"Latin"
"792","Toronto",1,30,"Middle Eastern"
"794","Toronto",1,8,"Pub"
"796","Toronto",1,258,"North American"
"798","Toronto",0,56,"Middle Eastern"
"800","Toronto",0,28,"Italian"
"802","Markham",0,53,"Asian"
"804","Toronto",1,8,"Asian"
"806","Toronto",0,95,"Asian"
"808","Toronto",1,13,"Other"
"810","Markham",0,72,"Fast Food"
"812","Markham",1,261,"Asian"
"814","Missisauga",1,38,"Latin"
"816","Toronto",1,44,"Pub"
"818","Markham",1,265,"Asian"
"820","Missisauga",1,28,"Italian"
"822","Toronto",0,53,"Other"
"824","Missisauga",1,4,"Latin"
"826","Markham",1,5,"Asian"
"828","Toronto",0,9,"Fast Food"
"830","Missisauga",0,12,"Coffee or Sandwiches"
"832","Missisauga",1,29,"Middle Eastern"
"834","Toronto",0,10,"Asian"
"836","Markham",0,6,"Other"
"838","Markham",0,21,"Other"
"840","Toronto",0,15,"Fast Food"
"842","Toronto",0,10,"Fast Food"
"844","Toronto",1,13,"North American"
"846","Toronto",1,4,"Asian"
"848","Toronto",0,6,"Fast Food"
"850","Toronto",0,48,"North American"
"852","Toronto",0,28,"Asian"
"854","Toronto",0,35,"Other"
"856","Toronto",0,97,"Asian"
"858","Toronto",0,55,"Asian"
"860","Toronto",0,13,"Pub"
"862","Missisauga",1,40,"Middle Eastern"
"864","Missisauga",0,28,"Middle Eastern"
"866","Missisauga",1,3,"Coffee or Sandwiches"
"868","Toronto",1,38,"Fast Food"
"870","Toronto",1,5,"Middle Eastern"
"872","Toronto",0,180,"Asian"
"874","Markham",0,86,"Fast Food"
"876","Toronto",0,34,"Coffee or Sandwiches"
"878","Toronto",1,4,"Coffee or Sandwiches"
"880","Toronto",0,69,"Pub"
"882","Toronto",0,10,"Other"
"884","Toronto",1,33,"Coffee or Sandwiches"
"886","Toronto",0,110,"Asian"
"888","Toronto",1,4,"Asian"
"890","Toronto",1,44,"Pub"
"892","Missisauga",0,4,"Fast Food"
"894","Toronto",0,8,"Fast Food"
"896","Toronto",0,138,"Asian"
"898","Toronto",0,4,"Pub"
"900","Toronto",0,63,"Latin"
"902","Toronto",0,13,"Other"
"904","Missisauga",1,5,"Other"
"906","Toronto",0,104,"Other"
"908","Missisauga",0,131,"Fast Food"
"910","Toronto",0,9,"Asian"
"912","Toronto",0,37,"Coffee or Sandwiches"
"914","Toronto",1,6,"Fast Food"
"916","Missisauga",1,43,"Asian"
"918","Toronto",0,22,"Pub"
"920","Toronto",0,75,"Asian"
"922","Missisauga",0,17,"Latin"
"924","Toronto",0,4,"Pub"
"926","Missisauga",1,299,"Middle Eastern"
"928","Toronto",1,6,"Coffee or Sandwiches"
"930","Toronto",1,26,"Fast Food"
"932","Toronto",1,4,"Asian"
"934","Toronto",1,10,"Middle Eastern"
"936","Toronto",0,247,"North American"
"938","Missisauga",1,6,"Fast Food"
"940","Toronto",0,39,"Fast Food"
"942","Toronto",0,5,"Other"
"944","Toronto",0,39,"Coffee or Sandwiches"
"946","Toronto",0,23,"Other"
"948","Toronto",0,29,"Asian"
"950","Toronto",0,3,"Other"
"952","Toronto",1,6,"Latin"
"954","Toronto",1,10,"Fast Food"
"956","Toronto",0,21,"Asian"
"958","Toronto",0,122,"Asian"
"960","Toronto",0,36,"Middle Eastern"
"962","Toronto",0,10,"Coffee or Sandwiches"
"964","Toronto",0,16,"Middle Eastern"
"966","Toronto",0,6,"Middle Eastern"
"968","Missisauga",0,3,"Middle Eastern"
"970","Toronto",1,41,"Other"
"972","Toronto",0,3,"Asian"
"974","Toronto",1,3,"Coffee or Sandwiches"
"976","Markham",0,66,"Pub"
"978","Toronto",0,14,"Other"
"980","Toronto",0,5,"Fast Food"
"982","Toronto",0,9,"North American"
"984","Toronto",0,167,"Coffee or Sandwiches"
"986","Toronto",1,3,"Fast Food"
"988","Toronto",1,3,"Other"
"990","Missisauga",0,24,"Coffee or Sandwiches"
"992","Toronto",0,11,"Coffee or Sandwiches"
"994","Toronto",0,31,"Fast Food"
"996","Toronto",0,44,"Latin"
"998","Toronto",1,4,"North American"
"1000","Toronto",0,3,"North American"
"1002","Toronto",0,79,"Asian"
"1004","Toronto",0,7,"Fast Food"
"1006","Missisauga",0,42,"Asian"
"1008","Toronto",0,19,"Asian"
"1010","Markham",1,151,"Other"
"1012","Toronto",0,84,"Pub"
"1014","Toronto",1,31,"North American"
"1016","Toronto",1,9,"Coffee or Sandwiches"
"1018","Toronto",0,10,"Middle Eastern"
"1020","Markham",0,49,"Other"
"1022","Toronto",0,3,"Middle Eastern"
"1024","Toronto",1,13,"Latin"
"1026","Toronto",0,8,"Asian"
"1028","Toronto",0,10,"Fast Food"
"1030","Toronto",0,12,"Asian"
"1032","Markham",0,14,"Middle Eastern"
"1034","Missisauga",0,149,"Middle Eastern"
"1036","Toronto",0,5,"Asian"
"1038","Toronto",0,40,"North American"
"1040","Toronto",1,113,"Coffee or Sandwiches"
"1042","Toronto",0,95,"Pub"
"1044","Toronto",1,3,"Middle Eastern"
"1046","Toronto",0,8,"Asian"
"1048","Toronto",1,5,"Other"
"1050","Toronto",0,15,"Latin"
"1052","Markham",0,29,"Middle Eastern"
"1054","Missisauga",0,39,"Middle Eastern"
"1056","Toronto",1,379,"Latin"
"1058","Toronto",0,30,"Fast Food"
"1060","Toronto",1,9,"Asian"
"1062","Missisauga",0,3,"Latin"
"1064","Toronto",0,9,"Other"
"1066","Toronto",1,9,"Asian"
"1068","Missisauga",1,5,"Italian"
"1070","Toronto",0,13,"Fast Food"
"1072","Toronto",0,35,"Italian"
"1074","Toronto",1,1184,"Asian"
"1076","Missisauga",0,52,"Middle Eastern"
"1078","Toronto",1,58,"Coffee or Sandwiches"
"1080","Markham",0,155,"Coffee or Sandwiches"
"1082","Markham",0,142,"Asian"
"1084","Missisauga",0,3,"Middle Eastern"
"1086","Toronto",0,48,"Fast Food"
"1088","Markham",0,14,"Latin"
"1090","Toronto",0,54,"North American"
"1092","Toronto",0,289,"Asian"
"1094","Toronto",0,32,"Fast Food"
"1096","Toronto",0,72,"Middle Eastern"
"1098","Toronto",0,3,"Coffee or Sandwiches"
"1100","Missisauga",0,9,"Other"
"1102","Toronto",0,19,"Asian"
"1104","Toronto",0,6,"Other"
"1106","Missisauga",0,34,"Asian"
"1108","Toronto",1,53,"Coffee or Sandwiches"
"1110","Toronto",0,27,"Middle Eastern"
"1112","Toronto",1,157,"Fast Food"
"1114","Toronto",0,29,"Coffee or Sandwiches"
"1116","Toronto",1,48,"Pub"
"1118","Toronto",0,10,"Fast Food"
"1120","Toronto",0,23,"Asian"
"1122","Missisauga",0,3,"Asian"
"1124","Toronto",0,3,"Coffee or Sandwiches"
"1126","Toronto",0,144,"Asian"
"1128","Toronto",0,39,"Asian"
"1130","Toronto",1,6,"Coffee or Sandwiches"
"1132","Toronto",0,55,"North American"
"1134","Toronto",0,15,"Coffee or Sandwiches"
"1136","Toronto",0,31,"Asian"
"1138","Markham",0,19,"Middle Eastern"
"1140","Toronto",0,23,"North American"
"1142","Markham",0,17,"Asian"
"1144","Missisauga",0,7,"Fast Food"
"1146","Toronto",1,21,"Asian"
"1148","Toronto",1,17,"Middle Eastern"
"1150","Toronto",0,20,"North American"
"1152","Missisauga",0,24,"North American"
"1154","Toronto",0,22,"Asian"
"1156","Toronto",1,26,"North American"
"1158","Toronto",1,48,"Middle Eastern"
"1160","Toronto",0,6,"North American"
"1162","Toronto",1,71,"Pub"
"1164","Toronto",0,20,"Other"
"1166","Toronto",0,71,"Middle Eastern"
"1168","Toronto",1,25,"Coffee or Sandwiches"
"1170","Toronto",0,46,"North American"
"1172","Toronto",0,46,"Latin"
"1174","Toronto",0,24,"Asian"
"1176","Missisauga",0,5,"Asian"
"1178","Toronto",1,52,"Asian"
"1180","Toronto",1,5,"Coffee or Sandwiches"
"1182","Toronto",0,21,"Middle Eastern"
"1184","Missisauga",0,4,"Fast Food"
"1186","Toronto",1,20,"Other"
"1188","Toronto",0,16,"Other"
"1190","Toronto",0,130,"North American"
"1192","Toronto",0,3,"Asian"
"1194","Toronto",0,18,"Asian"
"1196","Markham",0,13,"Asian"
"1198","Toronto",1,5,"Middle Eastern"
"1200","Toronto",0,30,"Asian"
"1202","Toronto",0,50,"Asian"
"1204","Toronto",0,3,"Coffee or Sandwiches"
"1206","Markham",0,23,"Asian"
"1208","Toronto",0,6,"Latin"
"1210","Toronto",0,4,"Fast Food"
"1212","Toronto",0,3,"Middle Eastern"
"1214","Missisauga",0,73,"Other"
"1216","Toronto",1,71,"North American"
"1218","Toronto",0,5,"Asian"
"1220","Toronto",0,6,"Asian"
"1222","Toronto",1,9,"Fast Food"
"1224","Toronto",0,5,"Fast Food"
"1226","Markham",0,18,"Other"
"1228","Toronto",1,3,"Asian"
"1230","Toronto",0,3,"Middle Eastern"
"1232","Toronto",0,22,"Fast Food"
"1234","Markham",0,79,"Asian"
"1236","Toronto",1,9,"Middle Eastern"
"1238","Toronto",0,287,"North American"
"1240","Missisauga",0,15,"Asian"
"1242","Toronto",0,9,"Fast Food"
"1244","Missisauga",1,33,"Coffee or Sandwiches"
"1246","Toronto",1,18,"Coffee or Sandwiches"
"1248","Toronto",0,11,"Pub"
"1250","Toronto",0,94,"Fast Food"
"1252","Toronto",0,5,"Fast Food"
"1254","Toronto",1,10,"Coffee or Sandwiches"
"1256","Markham",0,24,"Fast Food"
"1258","Markham",0,7,"Asian"
"1260","Missisauga",1,26,"Asian"
"1262","Missisauga",0,10,"Italian"
"1264","Toronto",0,64,"Asian"
"1266","Toronto",0,25,"Coffee or Sandwiches"
"1268","Toronto",1,4,"Asian"
"1270","Toronto",1,26,"Latin"
"1272","Toronto",1,18,"Italian"
"1274","Toronto",0,7,"Asian"
"1276","Toronto",0,376,"Asian"
"1278","Toronto",1,24,"Fast Food"
"1280","Toronto",1,19,"Asian"
"1282","Toronto",0,5,"Asian"
"1284","Toronto",0,10,"Middle Eastern"
"1286","Markham",0,54,"Asian"
"1288","Markham",0,12,"Asian"
"1290","Toronto",1,11,"Asian"
"1292","Toronto",0,24,"Fast Food"
"1294","Toronto",1,4,"Other"
"1296","Toronto",1,29,"Pub"
"1298","Toronto",0,122,"Asian"
"1300","Toronto",0,10,"Middle Eastern"
"1302","Toronto",0,9,"Asian"
"1304","Toronto",0,11,"Pub"
"1306","Markham",0,14,"Asian"
"1308","Toronto",1,6,"Coffee or Sandwiches"
"1310","Toronto",0,13,"Asian"
"1312","Toronto",0,27,"Asian"
"1314","Toronto",0,68,"Italian"
"1316","Markham",0,3,"Asian"
"1318","Toronto",0,58,"Middle Eastern"
"1320","Markham",0,11,"Fast Food"
"1322","Toronto",0,12,"Fast Food"
"1324","Toronto",0,76,"Other"
"1326","Toronto",0,121,"Asian"
"1328","Toronto",1,140,"Latin"
"1330","Missisauga",0,17,"Middle Eastern"
"1332","Toronto",0,4,"Asian"
"1334","Missisauga",0,79,"North American"
"1336","Missisauga",0,43,"North American"
"1338","Markham",0,7,"Fast Food"
"1340","Toronto",1,6,"North American"
"1342","Toronto",0,306,"North American"
"1344","Toronto",0,6,"North American"
"1346","Markham",0,20,"Asian"
"1348","Toronto",1,7,"Asian"
"1350","Toronto",0,15,"Asian"
"1352","Markham",0,20,"Asian"
"1354","Markham",0,18,"Asian"
"1356","Missisauga",1,16,"Middle Eastern"
"1358","Markham",1,6,"Fast Food"
"1360","Toronto",1,15,"North American"
"1362","Toronto",0,14,"North American"
"1364","Toronto",0,84,"Other"
"1366","Toronto",1,5,"Fast Food"
"1368","Toronto",1,11,"Coffee or Sandwiches"
"1370","Missisauga",1,3,"Other"
"1372","Toronto",1,49,"Coffee or Sandwiches"
"1374","Toronto",0,85,"Asian"
"1376","Toronto",1,14,"Asian"
"1378","Missisauga",0,71,"Coffee or Sandwiches"
"1380","Toronto",1,150,"Coffee or Sandwiches"
"1382","Toronto",1,106,"Fast Food"
"1384","Toronto",1,9,"Asian"
"1386","Missisauga",0,3,"Fast Food"
"1388","Markham",0,17,"Coffee or Sandwiches"
"1390","Toronto",1,22,"Asian"
"1392","Toronto",1,77,"Asian"
"1394","Toronto",0,8,"Fast Food"
"1396","Markham",0,8,"Asian"
"1398","Toronto",0,7,"Middle Eastern"
"1400","Missisauga",1,6,"Other"
"1402","Missisauga",1,68,"Asian"
"1404","Toronto",0,16,"Fast Food"
"1406","Toronto",0,10,"Asian"
