"","X","price","speed","hd","ram","screen","cd","multi","premium","ads","trend"
"46",46,2695,33,245,8,14,"no","no","yes",94,1
"47",47,2195,33,130,4,14,"no","no","yes",94,1
"48",48,1749,25,120,4,14,"no","no","yes",94,1
"49",49,2399,50,212,4,14,"no","no","yes",94,1
"50",50,1995,33,250,4,14,"no","no","yes",94,1
"51",51,2499,33,170,4,14,"no","no","yes",94,1
"52",52,2395,33,130,4,14,"no","no","yes",94,1
"53",53,2995,66,340,8,15,"no","no","yes",94,1
"54",54,2190,33,210,4,14,"no","no","yes",94,1
"55",55,2199,33,212,8,14,"no","no","no",94,1
"56",56,2125,50,130,4,14,"no","no","yes",94,1
"57",57,2045,66,130,4,14,"no","no","yes",94,1
"58",58,3075,66,210,4,17,"no","no","yes",94,1
"59",59,2945,66,210,8,17,"no","no","yes",94,1
"60",60,1945,50,130,4,14,"no","no","yes",94,1
"61",61,3990,66,330,8,15,"no","no","yes",94,1
"62",62,1795,33,170,4,15,"no","no","yes",94,1
"63",63,2495,33,250,8,15,"no","no","yes",94,1
"64",64,2220,33,250,4,14,"yes","no","yes",94,1
"65",65,2195,66,85,2,14,"no","no","yes",94,1
"66",66,1495,25,170,4,14,"no","no","yes",94,1
"67",67,2325,66,130,4,14,"no","no","yes",94,1
"68",68,1499,25,120,4,14,"no","no","yes",94,1
"69",69,2199,33,212,4,14,"no","no","yes",94,1
"70",70,3095,66,245,8,14,"no","no","yes",94,1
"71",71,4020,66,500,8,14,"yes","no","yes",94,1
"72",72,2725,33,210,4,17,"no","no","yes",94,1
"73",73,1695,33,170,4,14,"no","no","yes",94,1
"74",74,3044,50,245,8,14,"no","no","yes",94,1
"75",75,2999,50,170,4,14,"no","no","yes",94,1
"76",76,2844,33,245,8,14,"no","no","yes",94,1
"77",77,1975,33,210,8,14,"no","no","yes",94,1
"78",78,3220,66,340,8,15,"yes","no","yes",94,1
"79",79,2595,50,130,4,14,"no","no","yes",94,1
"80",80,1629,25,80,8,14,"no","no","no",94,1
"81",81,3399,66,230,4,15,"no","no","yes",94,1
"82",82,2495,33,245,8,14,"no","no","yes",94,1
"83",83,2990,66,210,8,15,"no","no","yes",94,1
"84",84,2720,33,250,8,15,"yes","no","yes",94,1
"85",85,2595,25,245,8,14,"no","no","yes",94,1
"86",86,1999,33,120,8,14,"no","no","no",94,1
"87",87,2075,33,210,8,14,"no","no","yes",94,1
"88",88,1795,33,130,4,14,"no","no","yes",94,1
"89",89,1395,25,85,2,14,"no","no","yes",94,1
"90",90,3490,50,330,8,14,"no","no","yes",94,1
"91",91,2975,50,210,4,17,"no","no","yes",94,1
"92",92,2145,66,130,4,14,"no","no","yes",94,1
"93",93,2420,33,170,8,15,"yes","no","yes",94,1
"94",94,2505,50,210,8,14,"no","no","yes",94,1
"95",95,2995,66,340,16,14,"no","no","yes",95,2
"96",96,1495,25,170,4,14,"no","no","yes",95,2
"97",97,1999,33,170,4,14,"no","no","yes",95,2
"98",98,1920,33,170,4,14,"yes","no","yes",95,2
"99",99,2595,25,340,16,14,"no","no","yes",95,2
"100",100,1695,33,170,4,14,"no","no","yes",95,2
"101",101,1995,33,250,4,14,"no","no","yes",95,2
"102",102,2195,25,245,8,14,"no","no","yes",95,2
"103",103,1795,66,85,2,14,"no","no","yes",95,2
"104",104,2999,66,330,4,15,"no","no","yes",95,2
"105",105,1395,25,85,2,14,"no","no","yes",95,2
"106",106,2995,66,250,8,17,"no","no","yes",95,2
"107",107,2699,50,212,8,14,"no","no","yes",95,2
"108",108,1720,25,170,4,14,"yes","no","yes",95,2
"109",109,2045,66,170,4,14,"no","no","yes",95,2
"110",110,2145,66,170,4,14,"no","no","yes",95,2
"111",111,2995,66,340,8,15,"no","no","yes",95,2
"112",112,2095,33,130,4,14,"no","no","yes",95,2
"113",113,3895,50,452,8,14,"no","no","yes",95,2
"114",114,2895,50,340,16,14,"no","no","yes",95,2
"115",115,1499,25,170,4,14,"no","no","yes",95,2
"116",116,3165,66,250,4,17,"no","no","yes",95,2
"117",117,2525,50,250,4,15,"no","no","yes",95,2
"118",118,2325,66,250,8,14,"no","no","yes",95,2
"119",119,2499,33,170,4,14,"no","no","yes",95,2
"120",120,2799,33,230,4,14,"no","no","yes",95,2
"121",121,1795,33,170,4,14,"no","no","yes",95,2
"122",122,2199,33,210,4,14,"no","no","yes",95,2
"123",123,2355,50,250,8,14,"no","no","yes",95,2
"124",124,3220,66,340,8,15,"yes","no","yes",95,2
"125",125,2420,33,170,8,15,"yes","no","yes",95,2
"126",126,2544,33,245,8,14,"no","no","yes",95,2
"127",127,2945,50,250,4,17,"no","no","yes",95,2
"128",128,2295,33,245,8,14,"no","no","yes",95,2
"129",129,1495,33,85,2,14,"no","no","yes",95,2
"130",130,2065,50,170,4,14,"no","no","yes",95,2
"131",131,2295,66,130,4,14,"no","no","yes",95,2
"132",132,1799,25,170,4,14,"no","no","yes",95,2
"133",133,2220,33,250,4,14,"yes","no","yes",95,2
"134",134,2075,50,170,4,14,"no","no","yes",95,2
"135",135,1749,25,120,4,14,"no","no","yes",95,2
"136",136,2195,25,245,8,14,"no","no","yes",95,2
"137",137,2255,50,250,8,14,"no","no","yes",95,2
"138",138,2395,33,250,4,15,"no","no","yes",95,2
"139",139,2720,33,250,8,15,"yes","no","yes",95,2
"140",140,2195,50,130,4,14,"no","no","yes",95,2
"141",141,2225,33,250,8,14,"no","no","yes",95,2
"142",142,4020,66,500,8,14,"yes","no","yes",95,2
"143",143,2475,50,250,8,14,"no","no","yes",95,2
"144",144,1975,50,170,4,14,"no","no","yes",95,2
"145",145,3995,66,452,8,14,"no","no","yes",95,2
"146",146,2595,66,245,8,14,"no","no","yes",95,2
"147",147,2295,66,170,4,14,"no","no","yes",95,2
"148",148,2199,33,212,4,14,"no","no","yes",95,2
"149",149,1975,33,250,8,14,"no","no","yes",95,2
"150",150,3895,66,500,8,15,"no","no","yes",95,2
"151",151,2095,33,250,4,15,"no","no","yes",95,2
"152",152,2225,33,250,8,15,"no","no","yes",95,2
"153",153,3599,66,330,8,14,"no","no","yes",95,2
"154",154,2075,33,250,8,14,"no","no","yes",95,2
"155",155,2499,33,212,8,14,"no","no","yes",95,2
"156",156,2575,66,250,8,15,"no","no","yes",95,2
"157",157,2999,50,170,4,14,"no","no","yes",95,2
"158",158,2195,33,170,8,15,"no","no","yes",95,2
"159",159,3065,50,250,4,17,"no","no","yes",95,2
"160",160,3399,66,230,4,15,"no","no","yes",95,2
"161",161,1995,33,130,4,14,"no","no","yes",95,2
"162",162,1595,25,170,4,15,"no","no","yes",95,2
"163",163,2645,50,250,4,15,"no","no","yes",95,2
"164",164,2345,50,250,8,14,"no","no","yes",95,2
"165",165,2795,33,340,16,14,"no","no","yes",95,2
"166",166,1895,25,130,4,14,"no","no","yes",95,2
"167",167,2495,50,245,8,14,"no","no","yes",95,2
"168",168,2599,50,210,4,14,"no","no","yes",95,2
"169",169,1595,33,85,2,14,"no","no","yes",95,2
"170",170,1999,33,120,8,14,"no","no","no",95,2
"171",171,2425,66,250,8,14,"no","no","yes",95,2
"172",172,2495,33,250,8,15,"no","no","yes",95,2
"173",173,1795,33,170,4,15,"no","no","yes",95,2
"174",174,2744,66,245,8,14,"no","no","yes",95,2
"175",175,3795,33,452,8,14,"no","no","yes",95,2
"176",176,2745,66,250,4,15,"no","no","yes",95,2
"177",177,2399,50,212,4,14,"no","no","yes",95,2
"178",178,2645,33,250,8,17,"no","no","yes",95,2
"179",179,1945,33,170,4,14,"no","no","yes",95,2
"180",180,1695,50,85,2,14,"no","no","yes",95,2
"181",181,2195,50,170,4,14,"no","no","yes",95,2
"182",182,2815,33,250,4,17,"no","no","yes",95,2
"183",183,1899,25,120,4,14,"no","no","yes",95,2
"184",184,2644,50,245,8,14,"no","no","yes",95,2
"185",185,3795,66,500,8,14,"no","no","yes",95,2
"186",186,2395,33,245,8,14,"no","no","yes",95,2
"187",187,1695,33,170,4,14,"no","no","yes",95,2
"188",188,2575,66,250,8,14,"no","no","yes",95,2
"189",189,2695,33,340,16,14,"no","no","yes",95,2
"190",190,2999,66,245,16,15,"no","no","yes",100,3
"191",191,1899,33,170,4,14,"no","no","yes",100,3
"192",192,2499,50,210,4,14,"no","no","yes",100,3
"193",193,1999,33,213,8,14,"no","no","yes",100,3
"194",194,2055,50,170,4,14,"no","no","yes",100,3
"195",195,2065,50,170,4,14,"no","no","yes",100,3
"196",196,2055,33,250,8,14,"no","no","yes",100,3
"197",197,2099,33,212,4,14,"no","no","yes",100,3
"198",198,1995,33,130,4,14,"no","no","yes",100,3
"199",199,2220,33,250,4,14,"yes","no","yes",100,3
"200",200,3220,66,340,8,15,"yes","no","yes",100,3
"201",201,3995,66,452,8,14,"no","no","yes",100,3
"202",202,2785,33,250,8,17,"no","no","yes",100,3
"203",203,2475,50,250,8,15,"no","no","yes",100,3
"204",204,1499,25,170,4,14,"no","no","yes",100,3
"205",205,1595,33,85,2,14,"no","no","yes",100,3
"206",206,2099,66,120,4,14,"no","no","yes",100,3
"207",207,2885,66,170,8,15,"no","no","yes",100,3
"208",208,3795,33,452,8,14,"no","no","yes",100,3
"209",209,2295,66,170,4,14,"no","no","yes",100,3
"210",210,3895,66,500,8,15,"no","no","yes",100,3
"211",211,2395,33,245,8,14,"no","no","yes",100,3
"212",212,3135,66,250,8,17,"no","no","yes",100,3
"213",213,2420,33,170,8,15,"yes","no","yes",100,3
"214",214,2125,66,170,4,14,"no","no","yes",100,3
"215",215,2985,66,250,8,17,"no","no","yes",100,3
"216",216,1395,25,85,2,14,"no","no","yes",100,3
"217",217,2295,33,245,8,14,"no","no","yes",100,3
"218",218,2095,33,130,4,14,"no","no","yes",100,3
"219",219,2795,33,340,16,14,"no","no","yes",100,3
"220",220,1945,33,170,4,14,"no","no","yes",100,3
"221",221,2635,33,250,8,17,"no","no","yes",100,3
"222",222,2695,66,250,8,15,"no","no","yes",100,3
"223",223,2199,50,213,8,14,"no","no","yes",100,3
"224",224,3895,50,452,8,14,"no","no","yes",100,3
"225",225,2599,50,212,8,14,"no","no","yes",100,3
"226",226,2745,66,170,8,14,"no","no","yes",100,3
"227",227,1920,33,170,4,14,"yes","no","yes",100,3
"228",228,2895,50,340,16,14,"no","no","yes",100,3
"229",229,2199,33,210,4,14,"no","no","yes",100,3
"230",230,2915,50,250,8,17,"no","no","yes",100,3
"231",231,1999,33,120,8,14,"no","no","no",100,3
"232",232,2720,33,250,8,15,"yes","no","yes",100,3
"233",233,1999,33,170,4,14,"no","no","yes",100,3
"234",234,2195,33,170,8,15,"no","no","yes",100,3
"235",235,2195,25,245,8,14,"no","no","yes",100,3
"236",236,2295,66,130,4,14,"no","no","yes",100,3
"237",237,1595,25,170,4,15,"no","no","yes",100,3
"238",238,1695,33,170,4,14,"no","no","yes",100,3
"239",239,1495,25,170,4,14,"no","no","yes",100,3
"240",240,3795,66,500,8,14,"no","no","yes",100,3
"241",241,1699,33,120,4,14,"no","no","yes",100,3
"242",242,1895,25,130,4,14,"no","no","yes",100,3
"243",243,2335,50,250,8,14,"no","no","yes",100,3
"244",244,2495,50,245,8,14,"no","no","yes",100,3
"245",245,2575,66,250,8,14,"no","no","yes",100,3
"246",246,2495,33,250,8,15,"no","no","yes",100,3
"247",247,3299,66,245,16,15,"no","no","yes",100,3
"248",248,2699,66,213,8,14,"no","no","yes",100,3
"249",249,1695,50,85,2,14,"no","no","yes",100,3
"250",250,2999,66,170,4,14,"no","no","yes",100,3
"251",251,2399,66,213,8,14,"no","no","yes",100,3
"252",252,1499,25,170,4,14,"no","no","yes",100,3
"253",253,2395,33,170,8,14,"no","no","yes",100,3
"254",254,1720,25,170,4,14,"yes","no","yes",100,3
"255",255,1495,33,85,2,14,"no","no","yes",100,3
"256",256,2399,66,120,4,14,"no","no","yes",100,3
"257",257,3035,50,250,8,17,"no","no","yes",100,3
"258",258,2449,33,230,4,14,"no","no","yes",100,3
"259",259,1775,33,170,4,14,"no","no","yes",100,3
"260",260,2599,33,245,16,15,"no","no","yes",100,3
"261",261,2995,66,340,8,15,"no","no","yes",100,3
"262",262,2345,33,250,8,15,"no","no","yes",100,3
"263",263,2535,33,170,8,15,"no","no","yes",100,3
"264",264,2345,50,250,8,14,"no","no","yes",100,3
"265",265,1899,50,120,4,14,"no","no","yes",100,3
"266",266,2195,50,130,4,14,"no","no","yes",100,3
"267",267,2645,50,170,8,14,"no","no","yes",100,3
"268",268,2785,50,170,8,15,"no","no","yes",100,3
"269",269,2799,50,245,16,15,"no","no","yes",100,3
"270",270,2999,66,340,4,15,"no","no","yes",100,3
"271",271,2095,33,250,4,15,"no","no","yes",100,3
"272",272,4020,66,500,8,14,"yes","no","yes",100,3
"273",273,2595,50,250,8,15,"no","no","yes",100,3
"274",274,2695,33,340,16,14,"no","no","yes",100,3
"275",275,2195,33,250,8,15,"no","no","yes",100,3
"276",276,2995,66,340,16,14,"no","no","yes",100,3
"277",277,2195,50,170,4,14,"no","no","yes",100,3
"278",278,2399,33,212,8,14,"no","no","yes",100,3
"279",279,2405,66,250,8,14,"no","no","yes",100,3
"280",280,1795,66,85,2,14,"no","no","yes",100,3
"281",281,2225,33,250,8,14,"no","no","yes",100,3
"282",282,1995,33,250,4,14,"no","no","yes",100,3
"283",283,2299,50,212,4,14,"no","no","yes",100,3
"284",284,1795,33,170,4,15,"no","no","yes",100,3
"285",285,2545,66,250,8,15,"no","no","yes",100,3
"286",286,2595,66,245,8,14,"no","no","yes",100,3
"287",287,1399,25,170,4,14,"no","no","yes",100,3
"288",288,2475,50,250,8,14,"no","no","yes",100,3
"289",289,2595,25,340,16,14,"no","no","yes",100,3
"290",290,1695,50,85,2,14,"no","no","yes",108,4
"291",291,3995,66,452,8,14,"no","no","yes",108,4
"292",292,2999,66,240,4,15,"no","no","yes",108,4
"293",293,2495,50,245,8,14,"no","no","yes",108,4
"294",294,2455,66,250,8,14,"no","no","yes",108,4
"295",295,2299,50,212,4,14,"no","no","yes",108,4
"296",296,2690,25,340,16,14,"no","no","yes",108,4
"297",297,2155,33,250,8,14,"no","no","yes",108,4
"298",298,2890,33,340,16,14,"no","no","yes",108,4
"299",299,1899,33,170,4,14,"no","no","yes",108,4
"300",300,1595,25,170,4,14,"no","no","yes",108,4
"301",301,1990,25,130,4,14,"no","no","yes",108,4
"302",302,1895,25,130,4,14,"no","no","yes",108,4
"303",303,1895,33,170,4,14,"no","no","yes",108,4
"304",304,2799,50,245,16,15,"no","no","yes",108,4
"305",305,2590,50,245,8,14,"no","no","yes",108,4
"306",306,1499,25,170,4,14,"no","no","yes",108,4
"307",307,2955,50,250,8,17,"no","no","yes",108,4
"308",308,2285,50,250,8,14,"no","no","yes",108,4
"309",309,2475,50,250,8,15,"no","no","yes",108,4
"310",310,3795,33,452,8,14,"no","no","yes",108,4
"311",311,1999,33,213,8,14,"no","no","yes",108,4
"312",312,2599,50,212,8,14,"no","no","yes",108,4
"313",313,2895,50,340,16,14,"no","no","yes",108,4
"314",314,3895,50,452,8,14,"no","no","yes",108,4
"315",315,2695,66,250,8,14,"no","no","yes",108,4
"316",316,1995,50,170,4,14,"no","no","yes",108,4
"317",317,2399,66,120,4,14,"no","no","yes",108,4
"318",318,2605,33,250,8,17,"no","no","yes",108,4
"319",319,2335,66,250,8,14,"no","no","yes",108,4
"320",320,2195,66,170,4,14,"no","no","yes",108,4
"321",321,2425,66,250,8,15,"no","no","yes",108,4
"322",322,2995,66,340,16,14,"no","no","yes",108,4
"323",323,2599,33,245,16,15,"no","no","yes",108,4
"324",324,2390,33,245,8,14,"no","no","yes",108,4
"325",325,1690,33,85,2,14,"no","no","yes",108,4
"326",326,1495,33,85,2,14,"no","no","yes",108,4
"327",327,2395,33,250,8,14,"no","no","yes",108,4
"328",328,2099,33,212,4,14,"no","no","yes",108,4
"329",329,3090,66,340,16,14,"no","no","yes",108,4
"330",330,2599,33,240,4,15,"no","no","yes",108,4
"331",331,1999,33,170,4,14,"no","no","yes",108,4
"332",332,2195,50,130,4,14,"no","no","yes",108,4
"333",333,2190,33,130,4,14,"no","no","yes",108,4
"334",334,2025,50,170,4,14,"no","no","yes",108,4
"335",335,1699,33,120,4,14,"no","no","yes",108,4
"336",336,2790,33,340,16,14,"no","no","yes",108,4
"337",337,1795,33,170,4,14,"no","no","yes",108,4
"338",338,2990,50,340,16,14,"no","no","yes",108,4
"339",339,2905,66,250,8,17,"no","no","yes",108,4
"340",340,2825,33,250,8,17,"no","no","yes",108,4
"341",341,2390,66,130,4,14,"no","no","yes",108,4
"342",342,2699,66,213,8,14,"no","no","yes",108,4
"343",343,2995,66,340,8,15,"no","no","yes",108,4
"344",344,1590,33,85,2,14,"no","no","yes",108,4
"345",345,2345,33,250,8,15,"no","no","yes",108,4
"346",346,2199,50,213,8,14,"no","no","yes",108,4
"347",347,2290,50,130,4,14,"no","no","yes",108,4
"348",348,2595,50,250,8,15,"no","no","yes",108,4
"349",349,2515,33,250,8,15,"no","no","yes",108,4
"350",350,2145,50,170,4,14,"no","no","yes",108,4
"351",351,2405,50,250,8,14,"no","no","yes",108,4
"352",352,2525,50,250,8,14,"no","no","yes",108,4
"353",353,2595,50,250,8,15,"no","no","yes",108,4
"354",354,2090,33,130,4,14,"no","no","yes",108,4
"355",355,2075,66,170,4,14,"no","no","yes",108,4
"356",356,2799,50,240,4,15,"no","no","yes",108,4
"357",357,3299,66,245,16,15,"no","no","yes",108,4
"358",358,2645,66,250,8,15,"no","no","yes",108,4
"359",359,3125,66,250,8,17,"no","no","yes",108,4
"360",360,2295,33,245,8,14,"no","no","yes",108,4
"361",361,1775,33,170,4,14,"no","no","yes",108,4
"362",362,2095,33,130,4,14,"no","no","yes",108,4
"363",363,2155,50,250,8,14,"no","no","yes",108,4
"364",364,3075,50,250,8,17,"no","no","yes",108,4
"365",365,2815,66,250,8,15,"no","no","yes",108,4
"366",366,1599,25,170,4,14,"no","no","yes",108,4
"367",367,2099,33,120,4,14,"no","no","no",108,4
"368",368,2645,50,250,8,15,"no","no","yes",108,4
"369",369,1795,66,85,2,14,"no","no","yes",108,4
"370",370,2035,33,250,8,14,"no","no","yes",108,4
"371",371,2490,33,245,8,14,"no","no","yes",108,4
"372",372,3225,66,212,4,15,"no","no","no",108,4
"373",373,2690,66,245,8,14,"no","no","yes",108,4
"374",374,2195,25,245,8,14,"no","no","yes",108,4
"375",375,1890,66,85,2,14,"no","no","yes",108,4
"376",376,1995,33,130,4,14,"no","no","yes",108,4
"377",377,2695,33,340,16,14,"no","no","yes",108,4
"378",378,2595,25,340,16,14,"no","no","yes",108,4
"379",379,1595,33,85,2,14,"no","no","yes",108,4
"380",380,1490,25,85,2,14,"no","no","yes",108,4
"381",381,2125,33,250,8,15,"no","no","yes",108,4
"382",382,2399,66,213,8,14,"no","no","yes",108,4
"383",383,2795,33,340,16,14,"no","no","yes",108,4
"384",384,2290,25,245,8,14,"no","no","yes",108,4
"385",385,2395,33,245,8,14,"no","no","yes",108,4
"386",386,2399,33,212,8,14,"no","no","yes",108,4
"387",387,1790,50,85,2,14,"no","no","yes",108,4
"388",388,2099,66,120,4,14,"no","no","yes",108,4
"389",389,1395,25,85,2,14,"no","no","yes",108,4
"390",390,1895,50,170,4,14,"no","no","yes",108,4
"391",391,2295,66,130,4,14,"no","no","yes",108,4
"392",392,2595,66,245,8,14,"no","no","yes",108,4
"393",393,1899,50,120,4,14,"no","no","yes",108,4
"394",394,1399,25,170,4,14,"no","no","yes",108,4
"395",395,2999,66,170,4,14,"no","no","yes",108,4
"396",396,2999,66,245,16,15,"no","no","yes",108,4
"397",397,2449,33,230,4,14,"no","no","yes",108,4
"398",398,1795,33,170,4,14,"no","no","yes",139,5
"399",399,1899,33,212,4,14,"no","no","yes",139,5
"400",400,2395,33,340,8,14,"no","no","yes",139,5
"401",401,2399,50,320,8,14,"no","no","yes",139,5
"402",402,1595,33,170,4,14,"no","no","yes",139,5
"403",403,2490,33,340,8,14,"no","no","yes",139,5
"404",404,2995,66,452,16,14,"no","no","yes",139,5
"405",405,2890,33,452,16,14,"no","no","yes",139,5
"406",406,2190,33,214,4,15,"no","no","yes",139,5
"407",407,2399,66,213,8,14,"no","no","yes",139,5
"408",408,2285,50,250,8,14,"no","no","yes",139,5
"409",409,2590,33,340,8,15,"no","no","yes",139,5
"410",410,2795,33,452,16,14,"no","no","yes",139,5
"411",411,1495,33,170,4,14,"no","no","yes",139,5
"412",412,2075,66,170,4,14,"no","no","yes",139,5
"413",413,2090,33,214,4,15,"no","no","yes",139,5
"414",414,2195,33,250,8,15,"no","no","yes",139,5
"415",415,3999,66,340,16,17,"no","no","yes",139,5
"416",416,1699,33,120,4,14,"no","no","yes",139,5
"417",417,1995,33,250,8,14,"no","no","yes",139,5
"418",418,1690,33,107,2,14,"no","no","yes",139,5
"419",419,3495,33,452,8,14,"no","no","yes",139,5
"420",420,2195,66,170,4,14,"no","no","yes",139,5
"421",421,3090,66,452,16,14,"no","no","yes",139,5
"422",422,2690,25,452,16,14,"no","no","yes",139,5
"423",423,1895,25,214,4,14,"no","no","yes",139,5
"424",424,2495,50,250,8,15,"no","no","yes",139,5
"425",425,2405,50,250,8,14,"no","no","yes",139,5
"426",426,1595,33,107,2,14,"no","no","yes",139,5
"427",427,2890,33,452,16,15,"no","no","yes",139,5
"428",428,2390,25,340,8,14,"no","no","yes",139,5
"429",429,1690,33,107,2,15,"no","no","yes",139,5
"430",430,2295,25,340,8,14,"no","no","yes",139,5
"431",431,2790,33,452,16,14,"no","no","yes",139,5
"432",432,2695,33,452,16,14,"no","no","yes",139,5
"433",433,2595,25,452,16,14,"no","no","yes",139,5
"434",434,1995,33,214,4,14,"no","no","yes",139,5
"435",435,2049,33,405,4,14,"no","no","yes",139,5
"436",436,1399,25,170,4,14,"no","no","yes",139,5
"437",437,2805,33,250,8,17,"no","no","yes",139,5
"438",438,2019,33,120,4,14,"no","no","no",139,5
"439",439,3055,50,250,8,17,"no","no","yes",139,5
"440",440,2990,50,452,16,14,"no","no","yes",139,5
"441",441,2605,33,250,8,17,"no","no","yes",139,5
"442",442,2125,33,250,8,15,"no","no","yes",139,5
"443",443,1490,25,107,2,14,"no","no","yes",139,5
"444",444,1699,33,170,4,14,"no","no","yes",139,5
"445",445,2495,33,340,8,14,"no","no","yes",139,5
"446",446,2599,33,245,16,15,"no","no","yes",139,5
"447",447,2220,33,250,8,14,"yes","no","yes",139,5
"448",448,1590,33,107,2,15,"no","no","yes",139,5
"449",449,1499,33,120,4,14,"no","no","yes",139,5
"450",450,2625,66,250,8,15,"no","no","yes",139,5
"451",451,1395,25,107,2,14,"no","no","yes",139,5
"452",452,2395,33,250,8,14,"no","no","yes",139,5
"453",453,2420,33,250,8,15,"yes","no","yes",139,5
"454",454,2425,66,250,8,15,"no","no","yes",139,5
"455",455,2515,33,250,8,15,"no","no","yes",139,5
"456",456,2375,50,250,8,15,"no","no","yes",139,5
"457",457,3105,66,250,8,17,"no","no","yes",139,5
"458",458,2390,66,214,4,15,"no","no","yes",139,5
"459",459,2905,66,250,8,17,"no","no","yes",139,5
"460",460,2690,25,452,16,15,"no","no","yes",139,5
"461",461,2695,66,250,8,14,"no","no","yes",139,5
"462",462,1790,50,107,2,14,"no","no","yes",139,5
"463",463,3495,66,500,8,14,"no","no","yes",139,5
"464",464,2790,33,452,16,15,"no","no","yes",139,5
"465",465,1790,50,107,2,15,"no","no","yes",139,5
"466",466,1795,66,107,2,14,"no","no","yes",139,5
"467",467,2995,66,340,8,15,"yes","no","yes",139,5
"468",468,1995,50,170,4,14,"no","no","yes",139,5
"469",469,2599,50,405,8,14,"no","no","yes",139,5
"470",470,3720,66,500,8,14,"yes","no","yes",139,5
"471",471,2155,33,250,8,14,"no","no","yes",139,5
"472",472,1599,25,170,4,14,"no","no","yes",139,5
"473",473,2525,50,250,8,14,"no","no","yes",139,5
"474",474,2299,33,405,8,14,"no","no","yes",139,5
"475",475,1895,33,170,4,14,"no","no","yes",139,5
"476",476,1490,25,107,2,15,"no","no","yes",139,5
"477",477,2035,33,250,8,14,"no","no","yes",139,5
"478",478,1720,33,170,4,14,"yes","no","yes",139,5
"479",479,2595,50,250,8,15,"no","no","yes",139,5
"480",480,2290,50,214,4,15,"no","no","yes",139,5
"481",481,2455,50,250,8,15,"no","no","yes",139,5
"482",482,1695,50,107,2,14,"no","no","yes",139,5
"483",483,2249,50,230,4,14,"no","no","yes",139,5
"484",484,1999,50,212,4,14,"no","no","yes",139,5
"485",485,2455,66,250,8,14,"no","no","yes",139,5
"486",486,2595,50,340,8,14,"no","no","yes",139,5
"487",487,2859,66,212,4,15,"no","no","no",139,5
"488",488,2599,50,405,4,15,"no","no","yes",139,5
"489",489,2855,50,250,8,17,"no","no","yes",139,5
"490",490,2790,66,340,8,14,"no","no","yes",139,5
"491",491,3990,66,1000,16,14,"no","no","yes",139,5
"492",492,3595,50,452,8,14,"no","no","yes",139,5
"493",493,2195,50,214,4,14,"no","no","yes",139,5
"494",494,3599,66,405,8,14,"no","no","yes",139,5
"495",495,2690,50,340,8,15,"no","no","yes",139,5
"496",496,1999,33,213,8,14,"no","no","yes",139,5
